username,password,firstname,lastname,email,student_id,year_level
user1,cdx001,User,One,,,
user2,cdx002,User,Two,,,
user3,cdx003,User,Three,,,
user4,cdx004,User,Four,,,
user5,cdx005,User,Five,,,
user6,cdx006,User,Six,,,
user7,cdx007,User,Seven,,,
user8,cdx008,User,Eight,,,
user9,cdx009,User,Nine,,,
user10,cdx010,User,Ten,,,
user11,cdx011,User,Eleven,,,
user12,cdx012,User,Twelve,,,
user13,cdx013,User,Thirteen,,,
user14,cdx014,User,Fourteen,,,
user15,cdx015,User,Fifteen,,,
user16,cdx016,User,Sixteen,,,
user17,cdx017,User,Seventeen,,,
user18,cdx018,User,Eighteen,,,
user19,cdx019,User,Nineteen,,,
user20,cdx020,User,Twenty,,,
user21,cdx021,User,Twentyone,,,
user22,cdx022,User,Twentytwo,,,
user23,cdx023,User,Twentythree,,,
user24,cdx024,User,Twentyfour,,,
user25,cdx025,User,Twentyfive,,,
user26,cdx026,User,Twentysix,,,
user27,cdx027,User,Twentyseven,,,
user28,cdx028,User,Twentyeight,,,
user29,cdx029,User,Twentynine,,,
user30,cdx030,User,Thirty,,,
